timestamp;date;time;PA_1_1_1;PPFD_IN_1_1_1;WD_1_1_1;WS_1_1_1;TA_1_1_1;RH_1_1_1;G_1_1_1;G_1_1_2;SWC_1_1_1;SWC_1_1_2;SWC_1_2_1;SWC_1_3_1;TS_1_1_1;TS_1_1_2;TS_1_2_1;TS_1_2_2;TS_1_3_1;TS_1_3_2;TS_1_4_1;TS_1_5_1;WTD;P_1_1_1
2020-01-01 00:00:00;01/01/2020;00:00;1014.03416666667;0;176.933333333333;0.288;-1.79578093333333;99.8544066666667;-6.83522865304579;-4.29482037653782;20.1313233410262;69.1485811476933;69.2932626051948;73.62893415624;0.371816013333333;0.934262093333333;1.3104607;0.731278476666667;3.61952013333333;2.47109066666667;5.29732546666667;8.28318503333333;0.287685433333333;0
2020-01-01 00:30:00;01/01/2020;00:30;1013.9481;0;258.466666666667;0.779;-1.86989763333333;99.8680126666667;-6.73705737317219;-4.9088893086723;20.1405107709856;69.1483280257356;69.2931289969724;73.629015340105;0.397537246666667;0.944791663333333;1.32987166666667;0.736743156666667;3.62430223333333;2.49198486666667;5.29481283333333;8.2798831;0.287928943333333;0
2020-01-01 01:00:00;01/01/2020;01:00;1013.71553333333;0;221.166666666667;0.618666666666667;-1.89039583333333;99.8370463333333;-6.81558969788142;-4.33751166621495;20.140651183563;69.1577953645016;69.3056376593482;73.6288451279507;0.408448286666667;0.953175863333333;1.34115003333333;0.74439189;3.63073113333333;2.50855096666667;5.2904815;8.27620126666667;0.288021823333333;0
2020-01-01 01:30:00;01/01/2020;01:30;1013.46303333333;0;207.666666666667;0.79;-1.67787556666667;99.835135;-7.08572308474178;-4.46966526689684;20.1397548158644;69.1645118867145;69.309571593676;73.6289249983128;0.418874113333333;0.961247766666667;1.35013653333333;0.7531891;3.63266406666667;2.51156923333333;5.28654913333333;8.27517693333333;0.288206173333333;0
2020-01-01 02:00:00;01/01/2020;02:00;1013.30923333333;0;243.766666666667;0.818;-1.4143708;99.8283653333333;-6.44091169941279;-4.20108513614611;20.1404784614376;69.1644993952723;69.3094023597269;73.6289524941386;0.436992386666667;0.970682776666667;1.36282256666667;0.759004736666667;3.63924663333333;2.51830856666667;5.28492736666667;8.27126873333333;0.28827281;0
2020-01-01 02:30:00;01/01/2020;02:30;1013.61716666667;0;214.033333333333;0.578;-1.24662752333333;99.853329;-6.8749535140742;-4.42012659447668;20.1393983703148;69.1738326617184;69.3094194386448;73.62876787318;0.454143276666667;0.98384806;1.38215033333333;0.769644173333333;3.64102613333333;2.51880493333333;5.28211553333333;8.26723626666667;0.288225573333333;0
2020-01-01 03:00:00;01/01/2020;03:00;1013.79566666667;0;171.833333333333;0.490666666666667;-1.1149927;99.849253;-6.40258547712044;-4.62786195412042;20.1396575879558;69.1808477107649;69.3095529626663;73.6287953669566;0.46911519;0.98814799;1.39551383333333;0.774838256666667;3.64588566666667;2.5216612;5.28097513333333;8.2600402;0.288275166666667;0
2020-01-01 03:30:00;01/01/2020;03:30;1013.34233333333;0;124.833333333333;0.695666666666667;-0.892806976666667;99.8560546666667;-6.69470320970279;-4.86314693571416;20.1389987864773;69.1807603269544;69.3095343307438;73.628953800597;0.484869363333333;0.994306463333333;1.4112676;0.77972613;3.64915886666667;2.51640303333333;5.2796872;8.258911;0.288540096666667;0
2020-01-01 04:00:00;01/01/2020;04:00;1013.03406666667;0;94.6;0.430666666666667;-0.584924573333333;99.8492513333333;-6.32287902184304;-4.6270448657455;20.1392688122946;69.1932559558871;69.3096057510098;73.6288123889801;0.505124886666667;0.998457753333333;1.42826023333333;0.78099364;3.652252;2.51930733333333;5.27766173333333;8.258911;0.288617836666667;0
2020-01-01 04:30:00;01/01/2020;04:30;1013.22673333333;0;163.133333333333;0.414333333333333;-0.54207485;99.8594543333333;-6.49527273347172;-4.57693392850275;20.1385343796617;69.1971168808638;69.309529673952;73.6288490554259;0.521582026666667;1.0051575;1.44745093333333;0.78823652;3.6562582;2.53290283333333;5.27618866666667;8.258911;0.288639336666667;0
2020-01-01 05:00:00;01/01/2020;05:00;1013.06353333333;0;177.433333333333;0.371333333333333;-0.54048793;99.8611536666667;-6.41763407953329;-4.04763284848696;20.1379943074539;69.1971168774389;69.3096895908743;73.6289223800312;0.53514913;1.0127628;1.46410906666667;0.79511721;3.6602644;2.5472443;5.275268;8.2521606;0.288634326666667;0
2020-01-01 05:30:00;01/01/2020;05:30;1013.1134;0;162.633333333333;0.429;-0.513508096666667;99.8520846666667;-6.43249250332225;-4.74171182871133;20.1379511240281;69.2127115426593;69.3095669351612;73.6289786799165;0.54871215;1.02109186666667;1.47769003333333;0.8016358;3.6648166;2.55630693333333;5.275268;8.24765;0.288763936666667;0
2020-01-01 06:00:00;01/01/2020;06:00;1013.02953333333;0;117.433333333333;0.407666666666667;-0.40558877;99.8758926666667;-6.36751538900801;-4.04274898926078;20.1376054517255;69.2131480647698;69.3096026456023;73.6289708240694;0.56247356;1.029602;1.48855406666667;0.80921634;3.672282;2.56192;5.275268;8.2455798;0.288960503333333;0
2020-01-01 06:30:00;01/01/2020;06:30;1013.11113333333;0;146.9;0.393666666666667;-0.138966880333333;99.8662553333333;-6.28774600454916;-4.46224309225405;20.137475845393;69.2213151252997;69.309649223496;73.6288150128838;0.581817633333333;1.03538713333333;1.50556933333333;0.816634113333333;3.6755598;2.5631947;5.275268;8.2421922;0.288894893333333;0
